codigo_estudiantil,nombre,apellido,carrera,numero_telefono
1,Nikos,Bungey,Tecnología en Electricidad de Media y Baja Tensión,5676576704
2,Tuckie,Keniwell,Otro,1427952059
3,Leah,Malt,Ingeniería Eléctrica,8923842005
4,Dael,Cannon,Ingeniería de Producción,7928670719
5,Lorin,Sabater,Tecnología en Electrónica Industrial,1325033720
6,Sandye,Anstey,Tecnología en Electrónica Industrial,9864495259
7,Jarred,Cansdale,Ingeniería Eléctrica,1676132699
8,Margaret,Gergely,Ingeniería en Telemática,3427728356
9,Blayne,Driffe,Ingeniería en Telecomunicaciones,1513322332
10,Lydia,De Ferrari,Tecnología en Construcciones Civiles,2539705291
11,Cheri,Huston,Ingeniería en Telemática,7476211919
12,Stewart,Olech,Ingeniería en Control y Automatización,8693593314
13,Margot,Kilgallon,Otro,9776409974
14,Bili,Mattack,Otro,6764535251
15,Charlton,Balfe,Tecnología en Mecánica Industrial,9616238165
16,Lexi,Shivell,Tecnología en Mecánica Industrial,9703447654
17,Fanya,Laity,Otro,9046447784
18,Sheffie,Maypowder,Tecnología en Mecánica Industrial,5545960322
19,Huntley,Ritchings,Ingeniería en Control y Automatización,8775942904
20,Donnie,Swadlinge,Ingeniería en Telemática,6283790865
21,Ivie,Sabbatier,Tecnología en Electricidad de Media y Baja Tensión,5657202008
22,Isabelle,Postlewhite,Tecnología en Mecánica Industrial,3656374840
23,Hesther,Thorrington,Ingeniería en Telemática,6368386205
24,Chrisy,Emons,Tecnología en Sistematización de Datos,7473542676
25,Valera,Lammert,Ingeniería Eléctrica,7902470957
26,Paola,Corp,Tecnología en Electricidad de Media y Baja Tensión,5557335095
27,Maurizio,Langstaff,Tecnología en Gestión de la Producción Industrial,3696579260
28,Jase,Crepel,Tecnología en Construcciones Civiles,6526803750
29,Corrianne,Capstick,Ingeniería Mecánica,1672719931
30,Lexine,Delamaine,Ingeniería en Control y Automatización,5994153565
31,Freddie,Renac,Ingeniería en Telecomunicaciones,1607748499
32,Willem,Hesse,Tecnología en Mecánica Industrial,4114593506
33,Joceline,Purselowe,Tecnología en Electrónica Industrial,5908096873
34,Jenni,Kirkham,Tecnología en Sistematización de Datos,6409386653
35,Eileen,Nye,Otro,8033963860
36,Ursola,Bridywater,Ingeniería Civil,8365207474
37,Gabriellia,Longrigg,Ingeniería Eléctrica,3866960237
38,Peder,Benediktovich,Ingeniería de Producción,8887886526
39,Fedora,Wartonby,Ingeniería de Producción,8161116199
40,Asa,Arunowicz,Ingeniería en Telemática,5728818502
41,Dulciana,Daymond,Otro,4443036963
42,Rebeka,Figures,Ingeniería Mecánica,5571617668
43,Francesca,Bredgeland,Tecnología en Mecánica Industrial,7174233509
44,Weider,Giorio,Ingeniería en Control y Automatización,1951805005
45,Brock,Looker,Ingeniería en Control y Automatización,1831539278
46,Hadlee,Mallon,Tecnología en Gestión de la Producción Industrial,3365709960
47,Ailbert,Eginton,Tecnología en Construcciones Civiles,5716887355
48,Nady,Samwaye,Tecnología en Construcciones Civiles,9786724025
49,Lucais,Jeschner,Ingeniería en Telemática,9323395337
50,Lexine,Andrzej,Ingeniería Civil,2777587552
51,Leora,Merle,Ingeniería Eléctrica,5124397458
52,Victoria,Loddy,Tecnología en Electrónica Industrial,4648275974
53,Rosalynd,Lomis,Ingeniería Civil,7894014974
54,Maurise,Guiot,Ingeniería Mecánica,9713247767
55,Halie,Clubley,Tecnología en Electrónica Industrial,5582662715
56,Morten,Geikie,Tecnología en Gestión de la Producción Industrial,1399737513
57,Drucie,Gregorace,Ingeniería Eléctrica,3127909648
58,Emyle,Rozec,Ingeniería en Control y Automatización,1175812790
59,Arlyne,Shimon,Tecnología en Sistematización de Datos,3063679892
60,Orel,Shortell,Tecnología en Construcciones Civiles,3627531141
61,Odo,McColm,Ingeniería Civil,8939876357
62,Jandy,Corryer,Tecnología en Electrónica Industrial,1873703313
63,Orville,Starton,Ingeniería Eléctrica,6423072636
64,Nelie,Gentner,Ingeniería de Producción,4342430111
65,Noach,Horribine,Ingeniería de Producción,1314814019
66,Lemuel,Roze,Tecnología en Sistematización de Datos,7881827913
67,Lanie,Dunphy,Ingeniería Civil,1596818222
68,D'arcy,Chippendale,Tecnología en Construcciones Civiles,1273698692
69,Flynn,McKevany,Tecnología en Sistematización de Datos,3069363354
70,Louella,Juniper,Tecnología en Construcciones Civiles,8003304195
71,Rochester,Donnell,Ingeniería en Telemática,2494400711
72,Mirelle,Verson,Ingeniería Civil,2328797587
73,Leilah,de Voiels,Tecnología en Electrónica Industrial,1408895683
74,Wallas,Legion,Tecnología en Gestión de la Producción Industrial,3225549637
75,Annnora,Epton,Otro,6909410061
76,Packston,Tuck,Ingeniería en Telecomunicaciones,5131046813
77,Belvia,Cerie,Ingeniería en Telemática,6269039587
78,Renie,Vreiberg,Ingeniería Civil,7199990011
79,Raddie,Roscher,Ingeniería Civil,3563823480
80,Falkner,Guillard,Tecnología en Mecánica Industrial,9407800886
81,Jeniece,Lampitt,Ingeniería Eléctrica,8234430464
82,Amandy,Missington,Tecnología en Mecánica Industrial,1312420451
83,Nico,Ferrero,Ingeniería en Control y Automatización,5837741976
84,Nikki,Woolsey,Tecnología en Electricidad de Media y Baja Tensión,2639023649
85,Annemarie,Gowland,Ingeniería en Control y Automatización,4612336644
86,Deny,Yakuntzov,Ingeniería en Telemática,7264218427
87,Berny,Lowe,Tecnología en Electrónica Industrial,8719011725
88,Colby,Le Prevost,Ingeniería Mecánica,6691402267
89,Lovell,MacAlpyne,Ingeniería de Producción,8453743611
90,Tiertza,Maclean,Tecnología en Electrónica Industrial,2917001625
91,Barbaraanne,Pletts,Ingeniería en Telemática,7818508881
92,Em,Tessington,Tecnología en Mecánica Industrial,6243535741
93,Cherlyn,Paffitt,Tecnología en Mecánica Industrial,9208663666
94,Penelope,Linnard,Ingeniería en Telemática,3452173658
95,Nara,Abbett,Tecnología en Sistematización de Datos,4804655483
96,Kerby,Smale,Otro,6512359021
97,Vasili,Old,Ingeniería Civil,9344266340
98,Armin,Colloff,Ingeniería en Telecomunicaciones,8398018276
99,Kakalina,Dunican,Ingeniería de Producción,7621194427
100,Concordia,Grigor,Ingeniería Eléctrica,5954384393
101,Maude,de Nore,Ingeniería Civil,6838982897
102,Jacqueline,Matanin,Ingeniería de Producción,9728721374
103,Deeyn,Pere,Tecnología en Construcciones Civiles,3331122081
104,Kay,Pearsall,Tecnología en Sistematización de Datos,8986261476
105,Alasteir,Largan,Ingeniería de Producción,9043384438
