codigo_estudiantil,nombre,apellido,carrera,numero_telefono
1,Janeta,Jumel,Ingeniería Mecánica,123-615-6178
2,Murielle,Natwick,Otro,803-530-1032
3,Redd,Esslemont,Ingeniería en Control y Automatización,360-286-2751
4,Betsy,Southouse,Tecnología en Electricidad de Media y Baja Tensión,108-701-9839
5,Parker,Cadalleder,Tecnología en Construcciones Civiles,187-335-9133
6,Silas,Kettel,Ingeniería en Telemática,913-273-1520
7,Gwyn,Elnor,Tecnología en Electricidad de Media y Baja Tensión,104-690-2195
8,Manolo,Dymond,Tecnología en Mecánica Industrial,838-693-2632
9,Alexandro,Embling,Otro,208-476-4358
10,Oby,Strathe,Tecnología en Electrónica Industrial,636-809-0016
11,Darby,Beeswing,Ingeniería de Producción,725-481-8829
12,Duffy,Goublier,Ingeniería Mecánica,813-184-5204
13,Michele,Cubbini,Ingeniería de Producción,729-747-1737
14,Shepperd,Kidstoun,Ingeniería en Control y Automatización,768-188-6705
15,Livvyy,Geraldi,Ingeniería en Control y Automatización,953-385-8327
16,Kilian,Hansbury,Ingeniería de Producción,502-566-6552
17,Shalne,Matula,Ingeniería Mecánica,885-594-7103
18,Purcell,Hutten,Tecnología en Construcciones Civiles,799-243-7562
19,Dorothy,Ferrarini,Ingeniería en Telemática,248-393-7801
20,Alexa,Wallas,Ingeniería Civil,949-703-6744
21,Mela,Middleditch,Tecnología en Construcciones Civiles,802-561-0640
22,Martguerita,Shickle,Tecnología en Electricidad de Media y Baja Tensión,322-917-2386
23,Kara,Brydson,Ingeniería en Control y Automatización,652-816-5664
24,Eddie,Sidle,Otro,804-974-9529
25,Feliza,Wynn,Tecnología en Electrónica Industrial,888-624-8027
26,Chip,Vernazza,Ingeniería Mecánica,904-679-3859
27,Calvin,Cohane,Tecnología en Electricidad de Media y Baja Tensión,666-264-7492
28,Pandora,Georgius,Ingeniería de Producción,155-463-5717
29,Flossy,Crandon,Ingeniería en Telecomunicaciones,396-280-6806
30,Maddie,Du Fray,Ingeniería Civil,585-406-8256
31,Karry,McGonnell,Ingeniería en Telemática,586-610-6295
32,Sabine,Batrip,Ingeniería Civil,322-913-1121
33,Dorian,Antonellini,Ingeniería en Telemática,449-521-3816
34,Shaylynn,Gullberg,Ingeniería en Telemática,639-446-9942
35,Leoline,Ballefant,Tecnología en Sistematización de Datos,507-137-0768
36,Mollee,Keddle,Ingeniería Eléctrica,334-986-8274
37,Sharla,Westover,Ingeniería en Telemática,214-467-0837
38,Jeniece,Birtley,Tecnología en Electrónica Industrial,865-244-5387
39,Orran,Huckfield,Tecnología en Sistematización de Datos,657-306-1585
40,Cole,Gurney,Ingeniería Eléctrica,778-508-7824
41,Ewen,Balston,Tecnología en Electricidad de Media y Baja Tensión,518-189-9813
42,Alene,Dummett,Tecnología en Sistematización de Datos,188-564-9291
43,Jasun,Ceresa,Ingeniería Eléctrica,123-340-3412
44,Regine,Gunbie,Ingeniería en Telemática,276-836-2988
45,Allyson,Jeffcock,Tecnología en Electrónica Industrial,824-643-8180
46,Cassy,Dullaghan,Ingeniería de Producción,599-102-1615
47,Guy,Stirton,Tecnología en Electrónica Industrial,310-355-5345
48,Edan,Muldowney,Tecnología en Gestión de la Producción Industrial,315-582-7958
49,Marquita,Sexcey,Ingeniería de Producción,860-668-7306
50,Sherwin,Leighton,Tecnología en Construcciones Civiles,948-848-0404
